,Injury Type,65–69,70–74,75–79,80–84,85–89,90–94,95+,Gender,State,Longitude,Latitude
0,Falls ,1374.0819710968965,2446.72454617206,4785.02080443828,7058.823529411765,11111.111111111111,n.p.,n.p.,Male,NT,130.841782,-12.462827
1,Total_Injuries,3316.749585406302,4459.352801894238,7142.857142857142,9915.96638655462,13725.490196078432,n.p.,n.p.,Male,NT,130.841782,-12.462827
2,Falls ,1640.4029966416947,2412.2334697393926,4543.775397118582,7651.109410864575,12338.593974175035,n.p.,n.p.,Persons,NT,130.841782,-12.462827
3,Total_Injuries,3203.3066391113402,4006.0305836743482,6501.662356852604,9869.931140015302,14921.090387374461,16450.216450216452,16666.666666666664,Persons,NT,130.841782,-12.462827
4,Falls ,1640.4029966416947,2412.2334697393926,4543.775397118582,7651.109410864575,12338.593974175035,n.p.,n.p.,Persons,NT,130.841782,-12.462827
5,Total_Injuries,3203.3066391113402,4006.0305836743482,6501.662356852604,9869.931140015302,14921.090387374461,16450.216450216452,16666.666666666664,Persons,NT,130.841782,-12.462827
6,Falls ,1136.226278254563,1687.6240900066182,2585.135471041511,4497.867390461419,8062.418725617686,16531.604538087522,8666.666666666666,Male,ACT,149.012375,-35.473469
7,Total_Injuries,2224.102502115315,2564.52680344143,4001.988565746955,6203.955021326095,9427.82834850455,17990.2755267423,11333.333333333332,Male,ACT,149.012375,-35.473469
8,Falls ,1203.3555105582875,1775.568181818182,3623.6051995858734,5904.372979411264,11441.586280814576,18211.206896551725,24279.835390946504,Persons,ACT,149.012375,-35.473469
9,Total_Injuries,2094.301417413943,2627.840909090909,4796.96307373749,7333.673643015144,12995.712754555198,19612.06896551724,26543.209876543213,Persons,ACT,149.012375,-35.473469
10,Falls ,1203.3555105582875,1775.568181818182,3623.6051995858734,5904.372979411264,11441.586280814576,18211.206896551725,24279.835390946504,Persons,ACT,149.012375,-35.473469
11,Total_Injuries,2094.301417413943,2627.840909090909,4796.96307373749,7333.673643015144,12995.712754555198,19612.06896551724,26543.209876543213,Persons,ACT,149.012375,-35.473469
12,Falls ,927.1578903082287,1425.1431176178794,2281.1024528808875,4303.346408609566,7676.686580556802,12715.295824016437,16744.957170489088,Male,NSW,145.612793,-31.840233
13,Total_Injuries,2085.1849319751145,2486.961884460175,3369.3524240912056,5721.510984668879,9306.004864341543,14661.26790354747,18623.929262227135,Male,NSW,145.612793,-31.840233
14,Falls ,1310.8854244100503,1953.228549076403,3291.5293044234227,5812.313596744734,10296.297476928961,14326.778997584172,17645.253682487724,Female,NSW,145.612793,-31.840233
15,Total_Injuries,2038.357625128807,2789.864677015782,4289.145011491087,7137.077196957436,11883.776159130393,16274.731659582276,19496.726677577743,Female,NSW,145.612793,-31.840233
16,Falls ,1121.4662132343396,1693.9557998321513,2813.7634369569064,5139.5552936202375,9240.650870682271,13785.331384015595,17402.0156774916,Persons,NSW,145.612793,-31.840233
17,Total_Injuries,2061.472962799512,2641.149270187102,3854.2342579441965,6505.960807928099,10844.99000856409,15732.618583495778,19260.918253079508,Persons,NSW,145.612793,-31.840233
18,Falls ,801.1434946311532,1215.8655184490083,2003.2192349286988,3803.0776134472635,7199.21407300525,10931.705809641533,13134.120917303682,Male,VIC,144.9646,-37.0201
19,Total_Injuries,1794.7287686515128,2216.2157308213827,3058.2731822640276,5055.812127217994,8731.157707303595,12415.018541409147,14628.21403752606,Male,VIC,144.9646,-37.0201
20,Falls ,1384.167391361636,1977.7608012902128,3434.969776726964,5842.76673500312,9737.656564817315,12940.651494868363,15076.436478650501,Female,VIC,144.9646,-37.0201
21,Total_Injuries,2102.9330381848367,2800.2716238010353,4408.582963442107,7044.596963484564,11145.960991213675,14620.09654780739,16868.74011597259,Female,VIC,144.9646,-37.0201
22,Falls ,1100.9186742906697,1607.5332393714737,2762.016218644348,4939.692210899278,8713.266266911145,12248.969277829498,14542.327536785782,Persons,VIC,144.9646,-37.0201
23,Total_Injuries,1953.199100295385,2516.4615069096876,3773.9083150105207,6164.0603657375605,10171.465384805986,13860.885756084585,16252.62755589528,Persons,VIC,144.9646,-37.0201
