,Year,65–69,70–74,75–79,80–84,85–89,90–95,95+,Total,Gender
0,2002–03,379.0,480.0,661.0,728.0,595.0,264.0,66.0,3173.0,Male
1,2003–04,413.0,544.0,727.0,792.0,649.0,347.0,85.0,3557.0,Male
2,2004–05,497.0,583.0,848.0,940.0,715.0,342.0,100.0,4025.0,Male
3,2005–06,538.0,707.0,887.0,1064.0,839.0,406.0,102.0,4543.0,Male
4,2006–07,654.0,669.0,1007.0,1203.0,1011.0,527.0,123.0,5194.0,Male
5,2007–08,632.0,749.0,1007.0,1331.0,1138.0,537.0,139.0,5533.0,Male
6,2008–09,695.0,820.0,1101.0,1358.0,1185.0,631.0,150.0,5940.0,Male
7,2009–10,777.0,835.0,1153.0,1552.0,1418.0,691.0,164.0,6590.0,Male
8,2010–11,854.0,917.0,1198.0,1805.0,1695.0,868.0,225.0,7562.0,Male
9,2011–12,819.0,1027.0,1309.0,1888.0,1868.0,961.0,278.0,8150.0,Male
10,2012–13,881.0,1119.0,1425.0,1911.0,1989.0,1096.0,231.0,8652.0,Male
11,2013–14,975.0,1216.0,1576.0,2077.0,2163.0,1201.0,312.0,9520.0,Male
12,2014–15,1163.0,1359.0,1852.0,2280.0,2488.0,1393.0,347.0,10882.0,Male
13,2002–03,289.0,471.0,912.0,1207.0,1284.0,713.0,274.0,5150.0,Female
14,2003–04,304.0,520.0,878.0,1365.0,1335.0,855.0,284.0,5541.0,Female
15,2004–05,386.0,579.0,1021.0,1482.0,1466.0,937.0,318.0,6189.0,Female
16,2005–06,435.0,619.0,1097.0,1676.0,1703.0,1112.0,378.0,7020.0,Female
17,2006–07,423.0,673.0,1162.0,1911.0,1918.0,1231.0,431.0,7749.0,Female
18,2007–08,464.0,714.0,1254.0,1917.0,2057.0,1385.0,492.0,8283.0,Female
19,2008–09,475.0,771.0,1340.0,2053.0,2386.0,1496.0,554.0,9075.0,Female
20,2009–10,548.0,844.0,1335.0,2359.0,2661.0,1578.0,614.0,9939.0,Female
21,2010–11,642.0,973.0,1567.0,2589.0,2921.0,1915.0,739.0,11346.0,Female
22,2011–12,653.0,1102.0,1607.0,2812.0,3213.0,2134.0,773.0,12294.0,Female
23,2012–13,732.0,1041.0,1739.0,2717.0,3460.0,2327.0,797.0,12813.0,Female
24,2013–14,846.0,1187.0,1809.0,2858.0,3581.0,2502.0,886.0,13669.0,Female
25,2014–15,1016.0,1368.0,2109.0,3062.0,3946.0,2949.0,998.0,15448.0,Female
26,2002–03,668.0,951.0,1573.0,1935.0,1879.0,977.0,340.0,8323.0,Persons
27,2003–04,717.0,1064.0,1605.0,2157.0,1984.0,1202.0,369.0,9098.0,Persons
28,2004–05,883.0,1162.0,1869.0,2422.0,2181.0,1279.0,418.0,10214.0,Persons
29,2005–06,973.0,1326.0,1984.0,2740.0,2542.0,1518.0,480.0,11563.0,Persons
30,2006–07,1077.0,1342.0,2169.0,3114.0,2929.0,1758.0,554.0,12943.0,Persons
31,2007–08,1096.0,1463.0,2261.0,3248.0,3195.0,1922.0,631.0,13816.0,Persons
32,2008–09,1170.0,1591.0,2441.0,3411.0,3571.0,2127.0,704.0,15015.0,Persons
33,2009–10,1325.0,1679.0,2488.0,3911.0,4079.0,2269.0,778.0,16529.0,Persons
34,2010–11,1496.0,1890.0,2765.0,4394.0,4616.0,2783.0,964.0,18908.0,Persons
35,2011–12,1472.0,2129.0,2916.0,4700.0,5081.0,3095.0,1051.0,20444.0,Persons
36,2012–13,1613.0,2160.0,3164.0,4628.0,5449.0,3423.0,1028.0,21465.0,Persons
37,2013–14,1821.0,2403.0,3385.0,4935.0,5744.0,3703.0,1198.0,23189.0,Persons
38,2014–15,2179.0,2727.0,3961.0,5342.0,6434.0,4342.0,1345.0,26330.0,Persons
