,Year,65–69,70–74,75–79,80–84,85–89,90–95,95+,Total,Gender
0,2002–03,675.0,1246.0,2655.0,3842.0,3865.0,2216.0,682.0,15181.0,Persons
1,2003–04,697.0,1288.0,2715.0,4044.0,4041.0,2385.0,713.0,15883.0,Persons
2,2004–05,710.0,1226.0,2544.0,4310.0,3774.0,2401.0,793.0,15758.0,Persons
3,2005–06,719.0,1228.0,2493.0,4112.0,4017.0,2631.0,840.0,16040.0,Persons
4,2006–07,732.0,1192.0,2493.0,4199.0,4320.0,2696.0,876.0,16508.0,Persons
5,2007–08,795.0,1295.0,2612.0,4046.0,4478.0,2816.0,853.0,16895.0,Persons
6,2008–09,765.0,1286.0,2465.0,4139.0,4650.0,2752.0,946.0,17003.0,Persons
7,2009–10,822.0,1329.0,2424.0,4236.0,4984.0,2853.0,1018.0,17666.0,Persons
8,2010–11,868.0,1498.0,2415.0,4301.0,5218.0,3203.0,1144.0,18647.0,Persons
9,2011–12,933.0,1471.0,2523.0,4308.0,5239.0,3348.0,1166.0,18988.0,Persons
10,2012–13,1048.0,1530.0,2442.0,4279.0,5159.0,3278.0,1072.0,18808.0,Persons
11,2013–14,1038.0,1520.0,2518.0,4065.0,5101.0,3564.0,1107.0,18913.0,Persons
12,2014–15,1171.0,1621.0,2605.0,4096.0,5243.0,3665.0,1219.0,19620.0,Persons
13,2002–03,435.0,822.0,1926.0,2889.0,2984.0,1756.0,544.0,11356.0,Female
14,2003–04,462.0,894.0,1939.0,2989.0,3082.0,1905.0,590.0,11861.0,Female
15,2004–05,460.0,799.0,1808.0,3205.0,2844.0,1896.0,635.0,11647.0,Female
16,2005–06,452.0,818.0,1704.0,2989.0,3008.0,2065.0,694.0,11730.0,Female
17,2006–07,483.0,780.0,1739.0,2974.0,3271.0,2104.0,691.0,12042.0,Female
18,2007–08,514.0,868.0,1805.0,2922.0,3393.0,2164.0,690.0,12356.0,Female
19,2008–09,497.0,863.0,1690.0,2971.0,3513.0,2166.0,776.0,12476.0,Female
20,2009–10,532.0,899.0,1725.0,3017.0,3752.0,2214.0,810.0,12949.0,Female
21,2010–11,553.0,965.0,1668.0,3034.0,3839.0,2426.0,930.0,13415.0,Female
22,2011–12,559.0,973.0,1701.0,3101.0,3842.0,2517.0,946.0,13639.0,Female
23,2012–13,669.0,995.0,1677.0,3029.0,3815.0,2486.0,863.0,13534.0,Female
24,2013–14,655.0,971.0,1690.0,2883.0,3656.0,2618.0,900.0,13373.0,Female
25,2014–15,773.0,1083.0,1789.0,2864.0,3767.0,2802.0,958.0,14036.0,Female
26,2002–03,240.0,424.0,729.0,953.0,881.0,460.0,138.0,3825.0,Male
27,2003–04,235.0,394.0,776.0,1055.0,959.0,480.0,123.0,4022.0,Male
28,2004–05,250.0,427.0,736.0,1105.0,930.0,504.0,158.0,4110.0,Male
29,2005–06,267.0,410.0,789.0,1123.0,1009.0,566.0,146.0,4310.0,Male
30,2006–07,249.0,412.0,754.0,1225.0,1049.0,592.0,185.0,4466.0,Male
31,2007–08,281.0,427.0,807.0,1124.0,1085.0,652.0,163.0,4539.0,Male
32,2008–09,268.0,423.0,775.0,1168.0,1137.0,586.0,170.0,4527.0,Male
33,2009–10,290.0,430.0,699.0,1219.0,1232.0,639.0,208.0,4717.0,Male
34,2010–11,315.0,533.0,747.0,1267.0,1379.0,777.0,214.0,5232.0,Male
35,2011–12,374.0,498.0,822.0,1207.0,1397.0,831.0,220.0,5349.0,Male
36,2012–13,379.0,535.0,765.0,1250.0,1344.0,792.0,209.0,5274.0,Male
37,2013–14,383.0,549.0,828.0,1182.0,1445.0,946.0,207.0,5540.0,Male
38,2014–15,398.0,538.0,816.0,1232.0,1476.0,863.0,261.0,5584.0,Male
